hit_id,x,y,z,volume_id,layer_id,module_id
16890,21.2495,24.148000000000003,-485.528,8,2,10
16967,-19.5129,-26.0459,-299.914,8,2,35
17004,29.0126,-13.3564,-331.03,8,2,39
17036,28.9097,14.0729,-295.18,8,2,41
17050,21.8082,23.5225,-303.514,8,2,42
17061,20.5866,25.5285,-301.065,8,2,43
17090,9.39842,31.4551,-310.378,8,2,44
17110,-14.9255,29.487,-295.965,8,2,46
17128,-31.7394,4.358709999999999,-314.793,8,2,48
17129,-31.8286,2.7763,-295.374,8,2,48
17154,-31.7739,-4.38079,-221.364,8,2,49
17164,-28.6504,-13.3145,-252.264,8,2,49
17196,-30.9867,-12.5033,-221.067,8,2,50
17211,-14.7894,-27.7725,-231.88099999999997,8,2,51
17226,-12.5628,-28.8454,-258.785,8,2,51
17278,14.1169,-28.3699,-239.16299999999998,8,2,53
17319,28.8706,-12.5107,-250.595,8,2,55
17347,31.0202,-8.31608,-229.666,8,2,56
17357,31.2677,-3.92855,-262.574,8,2,56
17382,31.9717,3.8151,-243.64700000000002,8,2,57
17412,26.4903,17.5373,-247.415,8,2,58
17434,18.559,25.956,-263.689,8,2,59
17472,-6.28235,31.1091,-234.15200000000002,8,2,61
17498,-15.6422,28.183000000000003,-269.623,8,2,62
17609,-29.2398,-13.1289,-141.567,8,2,65
17610,-29.5203,-12.3267,-151.27100000000002,8,2,65
17622,-26.6946,-18.0518,-189.317,8,2,66
17690,-14.4551,-28.4832,-152.471,8,2,67
17763,3.19785,-32.711999999999996,-182.30700000000002,8,2,69
17793,23.1699,-22.1231,-199.115,8,2,70
17853,28.6134,-14.1848,-146.18200000000002,8,2,71
17905,29.7251,11.7409,-184.49099999999999,8,2,73
17910,31.3597,7.0655399999999995,-201.11700000000002,8,2,73
17999,0.358009,31.965,-170.143,8,2,76
18029,-11.7601,29.7184,-167.014,8,2,77
18053,-2.5279599999999998,32.9462,-172.30200000000002,8,2,77
18057,-21.7749,23.3691,-174.19,8,2,78
18107,-26.7214,18.1111,-148.78,8,2,79
18132,-31.5503,7.710839999999999,-171.295,8,2,80
18175,-31.7068,-4.57291,-101.303,8,2,81
18189,-31.325,-5.66483,-122.166,8,2,81
18202,-32.0783,-3.5102300000000004,-116.131,8,2,81
18203,-33.3043,-0.00379859,-111.014,8,2,81
18212,-29.9805,-9.51012,-82.2538,8,2,81
18267,-21.4409,-23.1905,-87.1001,8,2,82
18324,-19.9182,-25.301,-124.473,8,2,83
18327,-15.9102,-27.2324,-70.0902,8,2,83
18336,-16.0071,-27.1857,-82.2651,8,2,83
18353,-21.2471,-24.6606,-100.234,8,2,83
18379,-3.03725,-31.318,-86.9134,8,2,84
18425,-6.11231,-31.1445,-93.9484,8,2,84
18469,2.69838,-32.3622,-127.979,8,2,85
18482,5.3588,-31.432,-91.23,8,2,85
18494,-1.62917,-33.8752,-69.1881,8,2,85
18501,8.20299,-30.4376,-88.0483,8,2,85
18516,16.1395,-27.7389,-91.8735,8,2,86
18552,17.1809,-26.8086,-110.079,8,2,86
18559,18.964000000000002,-25.215999999999998,-87.6642,8,2,86
18584,23.6146,-23.4179,-70.443,8,2,87
18594,26.8808,-16.6398,-131.076,8,2,87
18605,26.4408,-17.5529,-82.3072,8,2,87
18607,27.1697,-16.0402,-90.0961,8,2,87
18636,31.5788,1.5866,-91.3495,8,2,88
18649,31.3006,-3.34617,-135.162,8,2,88
18651,31.5873,1.73636,-79.0564,8,2,88
18665,31.0142,-8.42225,-70.2824,8,2,88
18666,31.3451,-2.55681,-115.96,8,2,88
18696,28.7839,12.9326,-83.1209,8,2,89
18714,30.5338,7.92766,-85.74700000000001,8,2,89
18729,33.4674,-0.462671,-73.2355,8,2,89
18758,21.1411,23.5261,-85.2503,8,2,90
18759,23.1063,21.326,-78.9768,8,2,90
18770,22.5067,21.9972,-72.9827,8,2,90
18803,26.1818,17.8827,-70.2019,8,2,90
18828,13.9443,28.1798,-111.883,8,2,91
18831,21.3062,24.6322,-72.908,8,2,91
18858,20.8777,24.8387,-75.6514,8,2,91
18871,15.8592,27.256999999999998,-82.13600000000001,8,2,91
18876,20.2817,25.1259,-122.964,8,2,91
18882,14.1146,28.0977,-73.0865,8,2,91
18939,7.735360000000001,31.053,-135.829,8,2,92
18957,-11.7957,29.1814,-85.6891,8,2,93
18960,-4.9244699999999995,31.5838,-109.995,8,2,93
18991,-11.520999999999999,29.2775,-119.693,8,2,93
19012,-20.9727,23.4218,-84.6758,8,2,94
19025,-19.948,24.337,-121.33200000000001,8,2,94
19041,-16.36,27.5419,-78.9302,8,2,94
19074,-25.3565,19.8031,-75.9366,8,2,95
19087,-29.1794,11.8697,-110.93799999999999,8,2,95
19104,-29.5434,11.1143,-91.9802,8,2,95
19140,-31.1036,6.837439999999999,-80.8231,8,2,96
19207,-32.0917,-4.97201,-33.773,8,2,97
19238,-32.4896,-3.83397,-33.1196,8,2,97
19248,-31.9669,-5.32906,-25.1959,8,2,97
19252,-29.9989,-10.9578,-39.647,8,2,97
19257,-32.1531,-4.7966,-9.045630000000001,8,2,97
19260,-30.5543,-9.36937,-15.5705,8,2,97
19264,-30.6124,-9.20298,-3.8920199999999996,8,2,97
19270,-30.4529,-9.6593,-2.1903099999999998,8,2,97
19289,-29.6028,-12.0905,-31.4054,8,2,97
19292,-33.4201,-1.17256,-9.37813,8,2,97
19327,-29.533,-14.8741,-25.3829,8,2,98
19350,-28.2191,-16.3451,-67.0098,8,2,98
19358,-23.5886,-21.5292,-42.3623,8,2,98
19363,-23.6565,-21.4532,-49.8811,8,2,98
19438,-27.4134,-17.2471,-41.6835,8,2,98
19455,-24.0565,-21.0054,-2.44559,8,2,98
19463,-24.6649,-20.3242,-34.4618,8,2,98
19466,-18.2072,-26.6751,-45.2266,8,2,99
19483,-15.5121,-27.9739,-32.695,8,2,99
19494,-18.0391,-26.7561,-69.9607,8,2,99
19496,-10.4462,-30.415,-5.00764,8,2,99
19517,-13.8886,-28.7562,-37.1849,8,2,99
19518,-21.712,-24.9862,-38.6383,8,2,99
19520,-15.1515,-28.1476,-63.4824,8,2,99
19539,-11.8426,-29.7421,-42.4385,8,2,99
19576,-19.2254,-26.1845,-1.84063,8,2,99
19586,-21.8296,-24.9295,-42.5441,8,2,99
19594,-18.3822,-26.5908,-10.1094,8,2,99
19606,-6.741219999999999,-31.605,-21.345,8,2,100
19626,-8.030489999999999,-31.5322,-48.324,8,2,100
19636,-10.5684,-31.3891,-34.9594,8,2,100
19743,7.66171,-31.1513,-6.10013,8,2,101
19750,8.2973,-30.9291,-53.4092,8,2,101
19755,5.69934,-31.8374,-25.2523,8,2,101
19778,12.7985,-29.3553,-25.6375,8,2,101
19801,5.85947,-31.7814,-3.1343799999999997,8,2,101
19805,9.32815,-30.5687,-59.3051,8,2,101
19817,13.5537,-29.0913,-60.7344,8,2,101
19830,5.16748,-32.0234,-26.7839,8,2,101
19835,4.1102,-32.393,-25.3082,8,2,101
19897,23.7293,-21.6234,-11.616,8,2,102
19925,16.5397,-28.0452,-6.53811,8,2,102
19928,16.0641,-28.4701,-5.9197,8,2,102
20014,25.9869,-19.6354,-6.895410000000001,8,2,103
20072,28.1913,-15.0608,-1.61563,8,2,103
20081,26.1693,-19.2568,-16.7403,8,2,103
20121,32.0889,1.8385,-58.9363,8,2,104
20157,31.7048,-4.97206,-7.8011,8,2,104
20172,31.8355,-2.65436,-30.1343,8,2,104
20177,31.613000000000003,-6.598089999999999,-52.7995,8,2,104
20190,31.8415,-2.54829,-35.821999999999996,8,2,104
20222,32.0523,1.18953,-25.1533,8,2,104
20223,31.5951,-6.91627,-28.1378,8,2,104
20240,31.9115,-1.3065,-7.120769999999999,8,2,104
20283,29.6116,12.0656,-11.7861,8,2,105
20317,32.5714,3.59996,-19.0268,8,2,105
20350,30.0859,10.7088,-20.5919,8,2,105
20366,31.1519,7.66,-27.973000000000003,8,2,105
20396,27.5395,17.1059,-54.5811,8,2,106
20457,29.0517,15.4129,-62.4139,8,2,106
20503,28.6292,15.8859,-22.0977,8,2,106
20516,29.3051,15.1293,-38.7406,8,2,106
20534,17.7818,26.8801,-24.9991,8,2,107
20545,21.6089,25.0359,-25.8915,8,2,107
20555,21.1438,25.26,-17.6519,8,2,107
20570,13.9318,28.7354,-4.52465,8,2,107
20598,19.5775,26.0148,-11.9666,8,2,107
20645,15.3462,28.0538,-3.77069,8,2,107
20653,10.7913,30.2487,-66.8341,8,2,107
20695,-1.48905,32.0692,-38.7979,8,2,108
20736,0.648439,31.9487,-12.0521,8,2,108
20861,-4.1060300000000005,32.3945,-66.8657,8,2,109
20871,-14.1673,28.8767,-2.5718799999999997,8,2,109
20874,-7.96788,31.0443,-22.3127,8,2,109
20877,-12.5153,29.4543,-1.25443,8,2,109
20886,-11.6185,29.7679,-49.7705,8,2,109
20934,-8.02223,31.0253,-35.586,8,2,109
20979,-20.3368,24.6537,-1.54005,8,2,110
20983,-14.9124,29.4987,-41.9701,8,2,110
21001,-22.796999999999997,22.4562,-22.1227,8,2,110
21040,-19.6981,25.2241,-2.02849,8,2,110
21057,-16.7172,27.8867,-33.3548,8,2,110
21078,-16.8564,27.7624,-31.3852,8,2,110
21121,-25.6114,20.4147,-33.2057,8,2,111
21191,-30.2196,10.8516,-21.8566,8,2,111
21196,-28.4775,14.4669,-6.7511,8,2,111
